epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.331,1.69066,1.63896,0.98195,0.35967,0.27109,0.25387,0.14276,1.56701,1.19048,0.93516,0.000256016,0.000256016,0.000256016
2,619.828,1.60468,1.24888,0.94357,0.41307,0.29351,0.2914,0.16329,1.5012,1.12752,0.92225,0.000502205,0.000502205,0.000502205
3,862.783,1.58818,1.20318,0.93569,0.37863,0.30931,0.29864,0.16598,1.50988,1.12485,0.91965,0.000738243,0.000738243,0.000738243
4,1087.53,1.57327,1.18283,0.93123,0.40989,0.31938,0.31085,0.17476,1.49291,1.0956,0.9173,0.000723321,0.000723321,0.000723321
5,1311.21,1.55023,1.14375,0.92331,0.48159,0.32566,0.33469,0.19228,1.44282,1.04807,0.90716,0.000708095,0.000708095,0.000708095
6,1533.64,1.55315,1.12388,0.92003,0.44584,0.32578,0.32892,0.18719,1.45656,1.06013,0.90836,0.000692869,0.000692869,0.000692869
7,1756.14,1.52691,1.10356,0.91629,0.44076,0.34812,0.34578,0.19682,1.45193,1.03971,0.90506,0.000677643,0.000677643,0.000677643
8,1977,1.51413,1.08406,0.91314,0.45132,0.35259,0.35723,0.20617,1.42786,1.02412,0.90163,0.000662417,0.000662417,0.000662417
9,2201.63,1.49745,1.06828,0.91056,0.49408,0.35403,0.36664,0.21041,1.40954,1.0053,0.89482,0.00064719,0.00064719,0.00064719
10,2427.89,1.48374,1.04845,0.90707,0.48076,0.36131,0.37174,0.2133,1.4103,0.99989,0.89919,0.000631964,0.000631964,0.000631964
11,2704.71,1.48208,1.03312,0.9021,0.48834,0.3553,0.36983,0.21257,1.40312,0.99678,0.89547,0.000616738,0.000616738,0.000616738
12,3015.31,1.47815,1.03385,0.90333,0.50363,0.35643,0.37463,0.21672,1.40225,0.99022,0.89472,0.000601512,0.000601512,0.000601512
13,3234.75,1.47484,1.02506,0.90179,0.49387,0.35955,0.37197,0.21472,1.39347,0.99225,0.89502,0.000586286,0.000586286,0.000586286
14,3455.09,1.45018,1.00403,0.8983,0.49612,0.37607,0.3877,0.22547,1.37938,0.96994,0.88831,0.000571059,0.000571059,0.000571059
15,3796.9,1.46099,1.00277,0.89532,0.50056,0.37671,0.39052,0.22683,1.3778,0.96962,0.88964,0.000555833,0.000555833,0.000555833
16,4029.29,1.44586,0.99189,0.89652,0.50756,0.37694,0.39324,0.22911,1.37208,0.95985,0.88961,0.000540607,0.000540607,0.000540607
17,4261.76,1.4454,0.99219,0.89381,0.50834,0.37356,0.38875,0.22541,1.38274,0.95847,0.89036,0.000525381,0.000525381,0.000525381
18,4493.64,1.43499,0.97619,0.89253,0.513,0.37255,0.3928,0.23002,1.37013,0.95737,0.88811,0.000510155,0.000510155,0.000510155
19,4746.9,1.42894,0.97203,0.89326,0.50708,0.38113,0.39696,0.23202,1.36865,0.95,0.88627,0.000494928,0.000494928,0.000494928
20,5015,1.42281,0.96285,0.89053,0.51163,0.38761,0.40163,0.23551,1.36755,0.94805,0.88764,0.000479702,0.000479702,0.000479702
21,5287.62,1.42853,0.96299,0.89031,0.50985,0.38871,0.40717,0.23881,1.35405,0.93449,0.88528,0.000464476,0.000464476,0.000464476
22,5558.52,1.41884,0.94918,0.88832,0.51466,0.38526,0.40357,0.23664,1.35671,0.93936,0.88352,0.00044925,0.00044925,0.00044925
23,5830.47,1.40508,0.94172,0.88818,0.5171,0.38943,0.40688,0.23853,1.3521,0.93184,0.88235,0.000434024,0.000434024,0.000434024
24,6110.55,1.40823,0.94009,0.8864,0.52367,0.38969,0.40793,0.24049,1.35454,0.93179,0.88348,0.000418797,0.000418797,0.000418797
25,6402.46,1.39226,0.92601,0.88585,0.53576,0.39566,0.42121,0.24707,1.34439,0.9186,0.88296,0.000403571,0.000403571,0.000403571
26,6687.48,1.39512,0.92737,0.88338,0.52592,0.39337,0.41455,0.2452,1.34364,0.92415,0.88152,0.000388345,0.000388345,0.000388345
27,6972.56,1.40129,0.92311,0.88171,0.53142,0.39883,0.42068,0.24783,1.33796,0.91619,0.87864,0.000373119,0.000373119,0.000373119
28,7256.66,1.39149,0.91576,0.88122,0.53134,0.39789,0.4182,0.24602,1.33643,0.91677,0.88061,0.000357893,0.000357893,0.000357893
29,7558.24,1.37807,0.90116,0.87973,0.53951,0.3969,0.42259,0.24788,1.34193,0.91391,0.88083,0.000342666,0.000342666,0.000342666
30,7859.1,1.38318,0.9018,0.87914,0.53102,0.40494,0.42323,0.24958,1.33335,0.90939,0.87905,0.00032744,0.00032744,0.00032744
31,8156.64,1.37582,0.89966,0.87966,0.53348,0.40381,0.42288,0.24908,1.33296,0.9077,0.87828,0.000312214,0.000312214,0.000312214
32,8457.4,1.3825,0.89544,0.8773,0.54246,0.39859,0.42466,0.25306,1.32985,0.90308,0.87821,0.000296988,0.000296988,0.000296988
33,8756.88,1.37248,0.88604,0.87733,0.53508,0.4068,0.42777,0.25218,1.32978,0.90111,0.8785,0.000281762,0.000281762,0.000281762
34,9063.78,1.37913,0.88447,0.87521,0.54874,0.3967,0.4276,0.25317,1.32763,0.89879,0.87838,0.000266535,0.000266535,0.000266535
35,9364.82,1.36557,0.87902,0.87539,0.53898,0.40886,0.43094,0.25372,1.33,0.89549,0.8774,0.000251309,0.000251309,0.000251309
36,9651.45,1.35491,0.87087,0.87501,0.55241,0.40781,0.43207,0.25508,1.32488,0.8919,0.87782,0.000236083,0.000236083,0.000236083
37,9925.3,1.35026,0.86857,0.87471,0.54983,0.40399,0.42902,0.253,1.32625,0.89198,0.87653,0.000220857,0.000220857,0.000220857
38,10198.7,1.34459,0.85568,0.87247,0.54521,0.40603,0.43127,0.25515,1.3241,0.89138,0.87793,0.000205631,0.000205631,0.000205631
39,10470.3,1.34631,0.85803,0.87136,0.55878,0.40022,0.43268,0.25601,1.32196,0.89553,0.8764,0.000190404,0.000190404,0.000190404
40,10743.1,1.3408,0.85362,0.87209,0.54083,0.40833,0.43443,0.25634,1.32089,0.8891,0.87584,0.000175178,0.000175178,0.000175178
41,11026,1.30141,0.82278,0.87224,0.55555,0.4063,0.43614,0.25687,1.32371,0.89034,0.87695,0.000159952,0.000159952,0.000159952
42,11284.8,1.28854,0.80916,0.86967,0.5498,0.40172,0.4335,0.25747,1.32323,0.88969,0.87678,0.000144726,0.000144726,0.000144726
43,11541.1,1.28673,0.80508,0.87062,0.55131,0.40572,0.43244,0.25622,1.32447,0.88908,0.87778,0.0001295,0.0001295,0.0001295
44,11798.8,1.28289,0.80164,0.86973,0.54669,0.41227,0.43556,0.25765,1.32233,0.8877,0.87646,0.000114273,0.000114273,0.000114273
45,12062.3,1.27827,0.79289,0.86921,0.54342,0.41154,0.43732,0.25764,1.32283,0.88511,0.87725,9.90472e-05,9.90472e-05,9.90472e-05
46,12333.2,1.27379,0.78589,0.86743,0.5476,0.41311,0.43867,0.25909,1.3191,0.88397,0.87554,8.3821e-05,8.3821e-05,8.3821e-05
47,12603,1.27425,0.78497,0.8645,0.55854,0.41075,0.43951,0.25863,1.31984,0.88419,0.8757,6.85948e-05,6.85948e-05,6.85948e-05
48,12876.6,1.26685,0.77586,0.86496,0.55677,0.40944,0.44039,0.26012,1.31795,0.88222,0.87549,5.33686e-05,5.33686e-05,5.33686e-05
49,13143.3,1.26958,0.77616,0.86426,0.55933,0.40901,0.43939,0.26006,1.31814,0.88292,0.87513,3.81424e-05,3.81424e-05,3.81424e-05
50,13407.4,1.26408,0.7708,0.86502,0.56404,0.40746,0.43873,0.25998,1.31819,0.88143,0.87518,2.29162e-05,2.29162e-05,2.29162e-05
